policy_id,claim_date,peril,region,claim_amount,premium,loss_year
POL-919214,2023-06-01,theft,BE-VLG,21186.43,1154.11,2023
POL-736535,2024-08-12,liability,DE-NRW,56127.48,3530.03,2024
POL-270957,2023-09-22,water_damage,BE-BRU,11695.99,2074.38,2023
POL-763063,2021-10-31,storm,BE-WAL,2114.59,256.88,2021
POL-387334,2024-11-02,theft,FR-IDF,171840.43,5000.0,2024
POL-421496,2022-01-20,storm,BE-VLG,27562.16,5000.0,2022
POL-963502,2021-08-18,fire,FR-IDF,6551.28,1595.68,2021
POL-456442,2024-07-12,theft,BE-VLG,37521.36,5000.0,2024
POL-497105,2021-11-07,storm,BE-VLG,16834.4,1730.62,2021
POL-638762,2020-05-19,flood,NL-ZH,57525.94,5000.0,2020
POL-102480,2022-05-07,UNKNOWN,BE-BRU,17588.03,1819.17,2022
POL-461642,2023-12-24,fire,DE-BAY,8037.68,2088.89,2023
POL-607714,2020-12-12,fire,FR-IDF,18527.89,5000.0,2020
POL-195028,2022-04-25,flood,BE-WAL,42681.47,2987.82,2022
POL-486959,2020-08-25,fire,NL-ZH,5155.65,2041.9,2020
POL-867585,2023-06-08,theft,BE-WAL,14198.7,1812.07,2023
POL-874226,2022-05-19,water_damage,DE-BAY,3142.25,1255.07,2022
POL-756202,2021-08-26,fire,NL-NH,23769.03,5000.0,2021
POL-235126,2021-02-18,storm,NL-NH,14210.36,5000.0,2021
POL-704542,2022-10-28,storm,BE-BRU,,5000.0,2022
POL-495687,2023-05-08,flood,DE-BAY,44617.09,4277.98,2023
POL-303789,2024-09-13,flood,NL-NH,6007.2,4089.01,2024
POL-475622,2022-03-09,flood,BE-WAL,16699.28,5000.0,2022
POL-403641,2020-10-20,storm,NL-NH,17565.43,1778.99,2020
POL-416035,2024-03-01,storm,BE-WAL,6145.77,638.72,2024
POL-061403,2023-02-24,theft,BE-VLG,4036.0,300.35,2023
POL-237378,2023-07-03,fire,BE-VLG,83542.22,5000.0,2023
POL-200593,2020-06-26,flood,BE-VLG,8072.63,495.77,2020
POL-676791,2021-07-24,liability,BE-VLG,8030.13,1433.05,2021
POL-011652,2023-11-03,fire,BE-BRU,9842.4,2612.65,2023
POL-671671,2024-02-29,liability,DE-BAY,24505.02,1212.19,2024
POL-891036,2022-03-06,liability,BE-BRU,7544.93,5000.0,2022
POL-937066,2024-01-10,storm,BE-WAL,5223.08,5000.0,2024
POL-178619,2024-03-17,flood,NL-ZH,16045.33,2792.36,2024
POL-734353,2021-12-08,theft,DE-BAY,31136.56,3066.95,2021
POL-881968,2024-06-28,theft,BE-BRU,23113.75,1720.99,2024
POL-747928,2021-06-10,storm,DE-NRW,6325.35,2042.18,2021
POL-544728,2021-03-13,theft,BE-BRU,3602.29,206.4,2021
POL-808246,2023-05-31,theft,NL-NH,4184.55,1273.81,2023
POL-308127,2023-03-09,flood,DE-NRW,19835.13,5000.0,2023
POL-387209,2020-09-12,storm,NL-NH,,1373.61,2020
POL-074766,2024-03-01,liability,FR-IDF,7473.62,2006.64,2024
POL-470263,2020-12-31,storm,DE-BAY,6932.69,2347.83,2020
POL-545473,2024-01-10,storm,BE-WAL,3135.3,1334.02,2024
POL-722111,2020-01-14,water_damage,BE-BRU,12302.89,1560.28,2020
POL-571247,2023-12-26,water_damage,DE-NRW,30408.14,5000.0,2023
POL-952112,2023-12-08,theft,DE-NRW,5935.57,746.53,2023
POL-105295,2023-11-26,flood,NL-ZH,46987.56,1998.42,2023
POL-618485,2023-04-29,water_damage,BE-WAL,3791.59,666.79,2023
POL-441094,2022-05-11,storm,NL-ZH,5151.98,1652.34,2022
POL-840601,2023-07-12,water_damage,BE-BRU,11058.02,480.27,2023
POL-539176,2021-05-21,theft,NL-NH,16088.35,980.76,2021
POL-725448,2023-11-27,water_damage,FR-IDF,9898.34,784.5,2023
POL-936679,2022-10-12,flood,BE-VLG,,2514.78,2022
POL-226110,2022-04-18,liability,DE-BAY,17457.99,1359.13,2022
POL-045227,2022-07-12,theft,BE-VLG,55427.76,2042.71,2022
POL-746976,2022-11-05,fire,DE-BAY,14541.46,833.69,2022
POL-694569,2020-03-09,flood,NL-NH,8960.17,845.03,2020
POL-801375,2020-09-12,flood,BE-WAL,21604.89,1861.89,2020
POL-216695,2021-03-24,fire,NL-NH,1579.33,271.64,2021
POL-400432,2020-07-28,water_damage,DE-NRW,2562.75,1051.61,2020
POL-098599,2022-03-14,water_damage,DE-NRW,39182.8,3519.43,2022
POL-620746,2023-05-06,water_damage,BE-WAL,6987.24,4100.66,2023
POL-915640,2023-04-10,water_damage,NL-ZH,5115.09,5000.0,2023
POL-336836,2022-05-10,storm,BE-WAL,22577.62,2626.86,2022
POL-298543,2024-04-11,water_damage,NL-NH,11416.71,3051.7,2024
POL-394596,2022-10-29,flood,DE-BAY,41882.39,5000.0,2022
POL-541376,2020-05-24,flood,BE-VLG,8088.77,1848.21,2020
POL-725946,2023-10-29,storm,BE-WAL,61333.0,2836.98,2023
POL-196215,2022-11-15,theft,BE-VLG,8769.29,2386.55,2022
POL-509941,2023-03-05,storm,NL-ZH,40647.65,1503.46,2023
POL-847528,2022-10-29,liability,DE-NRW,14812.58,3267.7,2022
POL-925395,2022-10-08,theft,FR-IDF,4999.53,1167.11,2022
POL-882749,2020-06-14,flood,FR-IDF,12220.16,2475.76,2020
POL-582259,2022-10-18,storm,DE-NRW,15200.46,2637.17,2022
POL-415355,2023-12-23,liability,NL-NH,11893.49,5000.0,2023
POL-431652,2021-07-09,theft,DE-NRW,5221.47,735.95,2021
POL-112381,2023-01-06,liability,BE-VLG,74542.15,5000.0,2023
POL-689405,2020-02-26,theft,NL-NH,17890.74,2843.23,2020
POL-588454,2021-09-26,theft,FR-IDF,949.6,1679.47,2021
POL-746149,2022-03-08,storm,NL-ZH,17067.04,913.8,2022
POL-366888,2024-11-30,theft,NL-ZH,24547.35,2902.41,2024
POL-337780,2021-01-27,water_damage,NL-ZH,1208.04,802.64,2021
POL-069974,2021-05-20,theft,DE-NRW,5687.83,1398.52,2021
POL-068469,2022-01-16,water_damage,BE-BRU,40517.98,1209.77,2022
POL-072315,2024-12-18,storm,BE-WAL,16198.76,1499.13,2024
POL-571086,2024-04-08,water_damage,FR-IDF,16230.01,1284.78,2024
POL-291422,2020-03-04,storm,FR-IDF,3170.48,4495.21,2020
POL-089614,2021-03-03,liability,NL-ZH,4787.39,1398.31,2021
POL-356428,2024-02-10,liability,BE-WAL,2615.64,408.58,2024
POL-134255,2020-04-16,liability,DE-NRW,1386.16,1187.35,2020
POL-929625,2024-04-12,flood,DE-NRW,620.06,299.02,2024
POL-670649,2021-05-29,flood,BE-WAL,162748.18,5000.0,2021
POL-276366,2024-08-03,fire,DE-BAY,5572.05,737.22,2024
POL-676869,2021-06-20,storm,FR-IDF,18765.06,1163.13,2021
POL-634570,2022-03-04,flood,NL-NH,51599.34,3087.41,2022
POL-271159,2023-04-24,liability,BE-BRU,15987.46,3715.45,2023
POL-598284,2020-08-18,flood,DE-NRW,11894.75,3150.69,2020
POL-873191,2022-10-14,fire,DE-BAY,20537.59,5000.0,2022
POL-987998,2022-07-11,liability,DE-BAY,155888.75,5000.0,2022
POL-370546,2023-12-03,water_damage,DE-BAY,14279.35,3861.42,2023
POL-658912,2024-12-24,theft,NL-NH,2319.84,499.05,2024
POL-085920,2023-04-28,water_damage,FR-IDF,3572.17,2272.36,2023
POL-893419,2022-01-17,fire,NL-ZH,4277.54,1274.63,2022
POL-340814,2022-01-12,theft,NL-NH,10495.08,2033.61,2022
POL-679471,2022-02-02,flood,NL-ZH,3134.3,945.17,2022
POL-404490,2024-01-27,theft,DE-NRW,,996.3,2024
POL-349806,2021-08-09,fire,NL-ZH,10883.39,1059.25,2021
POL-593311,2020-11-01,fire,BE-BRU,43326.15,1636.62,2020
POL-846650,2021-09-02,storm,BE-VLG,4516.55,303.63,2021
POL-721507,2020-02-11,storm,NL-NH,26905.97,4030.13,2020
POL-228319,2020-07-12,flood,BE-VLG,17657.63,5000.0,2020
POL-081121,2020-06-13,water_damage,DE-NRW,30270.82,4921.85,2020
POL-600723,2023-11-10,storm,DE-NRW,754.29,797.93,2023
POL-107574,2023-08-12,theft,DE-BAY,1539.08,3499.78,2023
POL-751590,2023-06-27,theft,NL-NH,2105.74,358.61,2023
POL-785490,2022-04-23,flood,BE-WAL,66626.12,5000.0,2022
POL-446490,2023-08-03,storm,DE-NRW,5179.07,3616.5,2023
POL-060265,2020-10-21,theft,BE-WAL,,2239.1,2020
POL-395460,2024-07-03,flood,NL-ZH,11438.32,849.6,2024
POL-786772,2022-07-04,flood,BE-WAL,156679.25,5000.0,2022
POL-423440,2024-09-09,flood,FR-IDF,5825.21,5000.0,2024
POL-463190,2020-10-05,theft,DE-BAY,5941.93,3193.78,2020
POL-800785,2022-06-27,liability,FR-IDF,41695.06,2222.32,2022
POL-553136,2023-06-26,water_damage,FR-IDF,17635.28,4711.69,2023
POL-787963,2022-06-24,flood,BE-VLG,13134.26,1838.83,2022
POL-526218,2022-03-26,theft,DE-BAY,7497.17,2679.69,2022
POL-375889,2020-10-30,fire,NL-NH,18684.6,1223.58,2020
POL-866098,2021-11-27,theft,NL-ZH,518.1,591.63,2021
POL-217330,2021-03-12,storm,NL-NH,18243.44,1834.33,2021
POL-854160,2021-07-04,water_damage,BE-BRU,2915.61,200.0,2021
POL-724337,2023-06-03,storm,DE-BAY,75685.23,5000.0,2023
POL-750016,2023-02-25,fire,NL-NH,46065.64,2407.91,2023
POL-626442,2023-01-14,water_damage,BE-VLG,32853.4,1497.16,2023
POL-714264,2021-10-23,storm,DE-BAY,141819.99,2571.5,2021
POL-603503,19/10/2024,flood,BE-VLG,318697.43,5000.0,2024
POL-212307,2020-06-09,water_damage,DE-NRW,13041.43,1634.62,2020
POL-137588,2021-09-17,storm,BE-BRU,13763.03,2611.2,2021
POL-080098,2020-08-03,storm,NL-NH,31134.27,2113.87,2020
POL-557410,2021-09-11,theft,BE-WAL,27537.03,1663.17,2021
POL-386890,2024-10-23,flood,DE-NRW,750.86,309.66,2024
POL-825533,2021-10-31,storm,DE-BAY,9366.7,1920.76,2021
POL-331515,2024-07-17,theft,BE-VLG,4414.83,1112.56,2024
POL-937882,2022-06-23,water_damage,BE-WAL,21313.73,3109.59,2022
POL-116761,2023-07-02,flood,NL-ZH,22308.12,1288.21,2023
POL-747749,2022-04-15,theft,FR-IDF,13229.59,761.94,2022
POL-566861,2021-04-30,storm,NL-NH,5606.59,2143.06,2021
POL-043205,2023-10-28,liability,DE-NRW,6762.73,2027.95,2023
POL-340808,2024-11-05,theft,DE-BAY,118332.84,1533.49,2024
POL-865457,2021-04-26,storm,DE-BAY,716.99,497.39,2021
POL-848634,2023-11-23,storm,BE-VLG,500000.0,5000.0,2023
POL-101837,2021-04-22,liability,BE-BRU,123038.12,2696.36,2021
POL-512445,2023-08-02,theft,NL-NH,10719.25,5000.0,2023
POL-132435,12/12/2023,liability,NL-ZH,28368.11,869.82,2023
POL-760062,2022-03-31,liability,NL-NH,11425.13,4136.37,2022
POL-769835,2023-09-08,storm,BE-WAL,10690.02,901.0,2023
POL-139635,2021-05-12,storm,BE-WAL,7584.02,621.94,2021
POL-933786,2020-05-24,theft,DE-NRW,5853.83,1466.83,2020
POL-876564,25/06/2020,fire,BE-VLG,30682.62,1485.03,2020
POL-331294,2022-03-27,flood,BE-BRU,4627.01,3239.01,2022
POL-210817,2024-07-07,theft,BE-VLG,14096.69,5000.0,2024
POL-880371,2020-08-21,liability,NL-NH,8068.7,1234.35,2020
POL-318781,2022-04-12,storm,NL-ZH,137083.62,5000.0,2022
POL-446242,2023-07-10,water_damage,DE-BAY,48278.01,5000.0,2023
POL-745384,2021-01-04,liability,NL-ZH,5393.28,527.92,2021
POL-839942,2023-08-11,storm,NL-ZH,62637.93,5000.0,2023
POL-359881,2021-07-12,liability,BE-VLG,21056.45,1674.24,2021
POL-268518,2024-01-17,theft,NL-NH,50007.66,4117.45,2024
POL-827291,2022-11-24,liability,DE-BAY,41152.91,3427.43,2022
POL-492430,2022-09-26,theft,BE-WAL,2343.16,510.84,2022
POL-052930,2020-11-18,theft,BE-VLG,26091.13,1984.5,2020
POL-986712,2022-04-26,water_damage,BE-VLG,12263.75,2816.24,2022
POL-861740,2024-04-14,liability,BE-WAL,135777.51,5000.0,2024
POL-028575,2020-02-05,fire,BE-BRU,4316.9,467.73,2020
POL-123047,2023-10-17,liability,FR-IDF,,1958.21,2023
POL-419505,2022-06-19,water_damage,BE-VLG,3069.99,433.03,2022
POL-214624,2023-08-07,fire,DE-NRW,,958.77,2023
POL-609055,2023-04-26,water_damage,BE-BRU,26444.04,5000.0,2023
POL-953469,2022-02-28,water_damage,BE-VLG,7058.03,1248.61,2022
POL-207376,2021-07-17,liability,NL-ZH,75124.83,2114.75,2021
POL-773058,2023-02-20,theft,BE-VLG,110806.38,5000.0,2023
POL-174668,2020-09-13,fire,FR-IDF,21647.38,1980.42,2020
POL-074201,03/12/2022,fire,NL-ZH,10451.62,2006.62,2022
POL-095952,2020-06-22,theft,DE-NRW,3275.29,444.19,2020
POL-713783,2023-04-02,storm,BE-VLG,3942.11,1099.69,2023
POL-138783,2023-02-22,water_damage,BE-VLG,2816.27,1819.9,2023
POL-944958,2020-06-03,flood,DE-NRW,51729.36,5000.0,2020
POL-706853,2023-10-15,theft,BE-VLG,54901.67,5000.0,2023
POL-063646,2022-01-29,liability,BE-WAL,3504.14,791.42,2022
POL-308392,2023-12-08,theft,DE-BAY,57552.32,2934.03,2023
POL-990638,2020-03-17,liability,BE-VLG,9021.57,1753.74,2020
POL-691670,2020-11-23,water_damage,DE-BAY,6436.85,1346.95,2020
POL-073356,2022-06-21,theft,FR-IDF,22842.9,2314.19,2022
POL-693755,2020-12-09,flood,NL-ZH,11835.11,897.08,2020
POL-362174,2021-08-25,storm,BE-VLG,1466.75,3121.72,2021
POL-352249,2023-04-21,fire,FR-IDF,8388.61,2080.93,2023
POL-294184,2020-09-21,water_damage,FR-IDF,2445.17,219.13,2020
POL-840683,2023-05-23,water_damage,NL-ZH,1579.0,678.38,2023
POL-305887,2020-07-07,fire,DE-BAY,6014.58,2925.61,2020
POL-967512,2020-11-16,liability,DE-BAY,11541.52,5000.0,2020
POL-170538,2022-12-09,storm,NL-NH,2517.49,1008.58,2022
POL-560397,2023-12-20,theft,BE-VLG,13982.76,4357.92,2023
POL-578096,2020-11-07,theft,BE-BRU,14365.77,3244.27,2020
POL-463876,2021-07-02,water_damage,BE-BRU,30215.6,2182.13,2021
POL-194901,2024-08-17,flood,BE-BRU,10243.8,2590.12,2024
POL-113739,2024-12-13,liability,BE-VLG,30979.72,3009.69,2024
POL-882651,2022-11-27,fire,BE-VLG,34397.61,2041.63,2022
POL-355191,2022-03-27,theft,BE-BRU,2013.92,925.66,2022
POL-676858,2021-09-25,storm,NL-ZH,107722.99,5000.0,2021
POL-006567,2023-01-23,storm,BE-WAL,57731.0,5000.0,2023
POL-464629,2022-12-15,liability,FR-IDF,9189.42,3797.69,2022
POL-486200,2021-06-22,fire,DE-BAY,4100.13,277.7,2021
POL-442637,2020-02-11,storm,FR-IDF,36682.43,1883.89,2020
POL-789135,2020-10-03,flood,BE-BRU,5711.39,4374.8,2020
POL-342202,2024-10-17,liability,BE-VLG,3640.95,659.96,2024
POL-362813,2022-02-02,flood,DE-NRW,8659.03,744.69,2022
POL-537454,2022-05-31,liability,NL-ZH,56101.3,1154.55,2022
POL-309592,2022-05-03,liability,BE-WAL,77160.71,5000.0,2022
POL-304864,2023-12-01,theft,DE-NRW,124554.74,5000.0,2023
POL-584877,2020-04-28,liability,NL-NH,9878.74,732.58,2020
POL-345150,2020-05-31,theft,FR-IDF,10939.41,1033.4,2020
POL-572961,2021-05-18,storm,NL-ZH,11019.54,963.2,2021
POL-937397,2022-06-08,,NL-ZH,,5000.0,2022
POL-155013,2023-05-11,water_damage,BE-WAL,5914.24,2458.02,2023
POL-446536,2022-06-15,fire,BE-BRU,7899.28,2431.43,2022
POL-197238,2022-03-17,fire,BE-BRU,126810.98,5000.0,2022
POL-572836,2024-09-09,flood,BE-WAL,4760.64,3778.71,2024
POL-957760,2020-10-21,fire,DE-NRW,17359.22,5000.0,2020
POL-497757,2022-11-10,liability,BE-WAL,27552.19,3844.13,2022
POL-516681,2022-09-17,flood,DE-NRW,169793.12,5000.0,2022
POL-609103,2022-05-15,fire,FR-IDF,19137.66,5000.0,2022
POL-164798,2024-01-15,flood,NL-NH,9561.78,1161.66,2024
POL-701236,2021-05-02,liability,NL-NH,4108.69,2754.69,2021
POL-531933,2024-10-08,storm,DE-NRW,4570.41,522.68,2024
POL-776661,2021-08-28,theft,NL-ZH,13177.3,2856.22,2021
POL-252922,2022-09-22,water_damage,DE-NRW,9237.38,1799.78,2022
POL-273397,2022-08-09,flood,DE-BAY,12449.85,1775.57,2022
POL-216398,2024-04-01,liability,BE-WAL,26813.3,3982.71,2024
POL-982273,2022-03-12,flood,NL-ZH,6095.86,1024.36,2022
POL-424259,2021-06-03,storm,BE-BRU,20966.31,641.12,2021
POL-616526,2020-02-09,flood,NL-NH,46509.24,5000.0,2020
POL-560471,2021-10-26,water_damage,BE-BRU,1492.83,522.32,2021
POL-705949,2024-02-18,storm,NL-ZH,16507.96,2315.58,2024
POL-841936,2020-01-19,liability,DE-NRW,74861.12,5000.0,2020
POL-905579,2024-06-25,liability,BE-VLG,22154.24,2470.47,2024
POL-918199,2022-09-18,theft,BE-WAL,6304.79,2003.21,2022
POL-349998,2020-09-13,fire,NL-ZH,27960.15,1745.81,2020
POL-051929,2021-07-06,water_damage,BE-VLG,7126.28,5000.0,2021
POL-549841,2022-10-09,storm,BE-BRU,38606.26,2401.84,2022
POL-114217,2021-07-30,flood,BE-BRU,23518.91,1279.21,2021
POL-757188,2020-07-17,flood,BE-VLG,131964.2,947.2,2020
POL-850611,2023-05-01,theft,BE-WAL,11805.38,3495.84,2023
POL-322279,2023-05-13,storm,NL-NH,22799.14,4408.02,2023
POL-370660,2020-08-05,liability,DE-NRW,8894.49,1490.99,2020
POL-134587,2021-05-28,storm,NL-NH,15215.21,1996.35,2021
POL-319262,2021-03-21,fire,BE-BRU,4812.34,920.56,2021
POL-117645,2023-04-19,water_damage,BE-WAL,65461.54,5000.0,2023
POL-456227,2023-08-27,flood,BE-WAL,17774.72,1499.75,2023
POL-804705,2023-08-21,theft,NL-ZH,13917.41,1910.04,2023
POL-055513,2024-09-11,water_damage,NL-ZH,39857.3,853.72,2024
POL-512505,2023-11-05,storm,BE-BRU,84142.08,5000.0,2023
POL-845404,2021-08-08,liability,NL-ZH,204457.01,5000.0,2021
POL-873875,2020-07-15,storm,BE-VLG,4854.53,2010.68,2020
POL-030990,2023-01-27,fire,DE-NRW,30900.73,5000.0,2023
POL-904779,2024-07-31,fire,BE-WAL,42160.36,5000.0,2024
POL-649389,2024-11-16,flood,FR-IDF,12056.1,1202.92,2024
POL-366563,24/02/2021,flood,BE-WAL,6215.86,865.69,2021
POL-155720,2021-03-08,storm,BE-WAL,54785.39,5000.0,2021
POL-026558,2020-03-09,liability,BE-VLG,4481.33,796.65,2020
POL-232971,2020-09-15,theft,BE-VLG,21922.24,4739.08,2020
POL-847802,2022-10-10,storm,DE-BAY,5805.58,1604.92,2022
POL-105707,2022-09-26,theft,NL-ZH,14182.12,4091.19,2022
POL-422805,2021-11-08,fire,NL-ZH,2088.09,331.71,2021
POL-287356,2021-07-20,theft,BE-VLG,3869.39,789.49,2021
POL-331623,2024-02-25,storm,BE-VLG,1524.99,686.77,2024
POL-098964,2022-04-20,theft,NL-NH,328950.34,5000.0,2022
POL-499673,2024-01-16,water_damage,FR-IDF,2382.5,628.52,2024
POL-413748,2024-10-25,storm,NL-NH,38576.68,2696.7,2024
POL-378959,2021-08-02,storm,FR-IDF,5388.95,1749.72,2021
POL-512269,2021-01-05,storm,FR-IDF,770.12,573.21,2021
POL-807126,2024-10-06,liability,BE-VLG,18347.36,2801.04,2024
POL-681775,2023-03-05,water_damage,FR-IDF,295450.97,5000.0,2023
POL-483909,2021-06-15,liability,DE-BAY,5241.97,791.72,2021
POL-919426,2023-02-10,theft,BE-BRU,122160.22,4128.89,2023
POL-295735,2022-07-30,flood,DE-BAY,141999.07,5000.0,2022
POL-325409,2024-07-12,storm,NL-NH,3679.25,352.71,2024
POL-489345,2021-04-12,theft,BE-VLG,1681.39,295.4,2021
POL-212954,2024-12-16,storm,BE-VLG,5212.13,1296.15,2024
POL-133846,2024-09-06,water_damage,DE-BAY,49413.92,2010.24,2024
POL-628964,2020-11-26,theft,BE-WAL,1187.64,350.79,2020
POL-171749,2020-10-27,theft,FR-IDF,24189.71,1706.07,2020
POL-560089,2022-09-01,flood,DE-NRW,15011.41,519.23,2022
POL-674827,2020-03-23,theft,NL-ZH,6066.35,1465.26,2020
POL-053666,2021-06-29,storm,NL-ZH,7390.45,463.13,2021
POL-440505,2022-03-05,UNKNOWN,FR-IDF,10741.13,5000.0,2022
POL-290868,2024-11-06,theft,BE-WAL,14869.65,1549.08,2024
POL-910115,2024-12-18,liability,DE-NRW,95774.73,4876.74,2024
POL-823345,2020-10-03,flood,NL-NH,8115.69,827.24,2020
POL-926868,2024-06-17,fire,DE-NRW,11902.54,2154.22,2024
POL-703500,2020-06-15,flood,BE-BRU,28080.57,4245.26,2020
POL-144758,2023-09-29,storm,DE-BAY,4071.68,277.72,2023
POL-050288,2024-03-24,flood,DE-NRW,91800.64,5000.0,2024
POL-400985,2024-06-15,fire,NL-ZH,4914.32,1638.39,2024
POL-093957,2021-02-12,theft,BE-WAL,23512.64,902.65,2021
POL-730128,2024-06-20,storm,BE-VLG,9723.28,2584.78,2024
POL-383719,2020-07-30,storm,DE-BAY,13433.83,805.62,2020
POL-759048,2022-08-05,theft,BE-VLG,147191.31,5000.0,2022
POL-379370,2022-05-07,liability,DE-NRW,18285.55,1687.0,2022
POL-294394,2021-07-31,storm,NL-NH,5765.65,489.87,2021
POL-660677,2020-02-10,water_damage,BE-WAL,4377.72,484.69,2020
POL-017673,2023-11-11,liability,BE-VLG,60844.83,5000.0,2023
POL-103321,2021-09-05,storm,BE-BRU,22843.84,716.08,2021
POL-145403,2023-04-23,fire,FR-IDF,7265.72,3215.65,2023
POL-053323,2022-01-19,theft,NL-ZH,50088.87,4041.15,2022
POL-099951,2021-11-13,water_damage,DE-BAY,4976.48,4582.41,2021
POL-313404,2024-06-07,flood,FR-IDF,4657.86,3147.18,2024
POL-440226,2020-06-21,theft,BE-VLG,11208.4,732.2,2020
POL-511393,2023-09-07,storm,BE-BRU,9295.62,1041.51,2023
POL-683388,2023-09-26,water_damage,NL-NH,1616.53,1424.28,2023
POL-913923,2021-11-25,fire,NL-NH,7186.28,1561.46,2021
POL-992645,2021-04-24,water_damage,BE-BRU,,997.76,2021
POL-238315,2020-01-10,flood,NL-NH,8408.4,913.93,2020
POL-556594,2024-09-07,storm,NL-ZH,12744.64,5000.0,2024
POL-742687,2024-09-27,water_damage,BE-VLG,3902.48,1088.62,2024
POL-446267,2021-03-16,storm,DE-BAY,18714.24,2652.35,2021
POL-709445,2020-02-28,water_damage,BE-WAL,24027.41,5000.0,2020
POL-965738,2020-08-12,water_damage,NL-ZH,71976.86,2010.14,2020
POL-560763,2020-05-03,water_damage,NL-ZH,9057.76,5000.0,2020
POL-609637,2024-02-27,liability,BE-WAL,9767.87,331.0,2024
POL-940255,2024-06-17,theft,DE-BAY,28562.13,5000.0,2024
